id,weight,gender,age,race_ethnicity,party_id,trump_pope_reaction
R0001,1.0897,Female,18,"White, non-Hispanic",Lean Republican,He's right to push back. The pope made comments about immigration that were directed at Trump and he had every right to respond.
R0002,0.7107,Male,19,Asian / Pacific Islander,Democrat,I was horrified honestly. The man is attacking the Pope. The Pope.
R0003,1.2031,Female,36,Hispanic,Strong Democrat,I cried actually. I'm a lifelong Catholic and this felt like an attack on my faith.
R0004,1.693,Non-binary / Other,59,Asian / Pacific Islander,Strong Democrat,Made me sick to my stomach. We've truly lost the plot as a country.
R0005,1.6729,Female,51,"Black, non-Hispanic",Republican,not following it
R0006,0.8366,Female,51,Hispanic,Lean Democrat,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0007,1.0823,Male,29,"Black, non-Hispanic",Lean Republican,"idk, i dont really care"
R0008,1.3578,Male,72,Hispanic,Democrat,Made me sick to my stomach. We've truly lost the plot as a country.
R0009,0.9669,Female,47,Asian / Pacific Islander,Strong Republican,LOL good. about time. The pope should worry about his own problems and not lecture us.
R0010,0.9842,Non-binary / Other,32,Asian / Pacific Islander,Lean Republican,About time. Leo said some pretty nasty things about our immigration policy first.
R0011,1.2657,Female,49,Asian / Pacific Islander,Democrat,As someone who respects all religions I was very troubled by the tone and the words he used.
R0012,1.3585,Female,60,"Black, non-Hispanic",Democrat,I understand why people are upset but I also think the pope has been making political statements that invite a response.
R0013,1.1232,Male,56,"Black, non-Hispanic",Strong Republican,I don't know
R0014,2.1316,Non-binary / Other,46,Other / Mixed Race,Strong Republican,Didn't phase me. Trump says controversial things all the time and he's usually right.
R0015,1.4735,Female,49,"Black, non-Hispanic",Republican,It was appropriate I think. Leo made some statements that really were anti-American.
R0016,0.9259,Male,32,"Black, non-Hispanic",Lean Republican,Good. The church should stay out of it. Trump is just saying what a lot of people think.
R0017,0.6217,Female,48,Other / Mixed Race,Republican,I supported it. Leo has been very political and Trump calling him out was fair.
R0018,1.1593,Female,57,"White, non-Hispanic",Lean Democrat,It made me really sad. Even if you disagree with him you don't attack the pope like that.
R0019,0.83,Female,41,"Black, non-Hispanic",Strong Republican,good for him! the pope had it coming with all his comments about trump supporters
R0020,0.4995,Female,54,Asian / Pacific Islander,Independent,"Not great, not terrible. Both of them need to dial it back."
R0021,1.3354,Male,18,Other / Mixed Race,Democrat,Somewhat disturbed but also not entirely surprised. They've been on a collision course for a while.
R0022,0.7447,Non-binary / Other,50,Hispanic,Strong Democrat,very upset about it. my whole family is catholic and this felt personal
R0023,1.711,Male,46,"White, non-Hispanic",Lean Republican,I don't love it but I also don't love that the pope gets involved in american politics. so.
R0024,0.3719,Female,47,"White, non-Hispanic",Independent,No opinion
R0025,0.8614,Male,37,"White, non-Hispanic",Lean Republican,I was happy about it. Someone needs to stand up to these institutions.
R0026,1.0429,Female,45,Hispanic,Strong Republican,no comment
R0027,0.7947,Female,64,Hispanic,Strong Republican,Didn't bother me at all. The Vatican shouldn't be weighing in on US policy so I think Trump was justified.
R0028,1.1881,Female,32,Hispanic,Independent,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0029,0.654,Female,50,Other / Mixed Race,Independent,I understand why people are upset but I also think the pope has been making political statements that invite a response.
R0030,1.1443,Male,36,Asian / Pacific Islander,Strong Democrat,Completely disgusted. There is no excuse for that kind of language directed at a religious leader.
R0031,1.3542,Female,63,"White, non-Hispanic",Strong Republican,Thought it was fine tbh. Francis used to do the same thing and nobody said a word. now its a problem bc its trump?
R0032,1.237,Non-binary / Other,57,"White, non-Hispanic",Lean Democrat,The disrespect was shocking even by his standards. Pope Leo has done nothing to deserve that.
R0033,0.4031,Female,18,"Black, non-Hispanic",Democrat,"Not great, not terrible. Both of them need to dial it back."
R0034,0.4676,Non-binary / Other,27,Asian / Pacific Islander,Lean Republican,don't know
R0035,1.4595,Male,37,Hispanic,Independent,not sure
R0036,0.8498,Female,71,"Black, non-Hispanic",Lean Democrat,I was really disturbed. He seems to have no limits anymore.
R0037,1.9551,Male,45,Hispanic,Lean Democrat,Appalled. This is a new low even for Trump. Pope Leo has been a wonderful leader for the church.
R0038,0.5757,Female,53,Hispanic,Lean Democrat,Not sure I heard about this
R0039,0.799,Female,53,Other / Mixed Race,Lean Republican,Conflicted. I'm not a fan of how Trump said it but I do think the pope shouldn't be making political statements.
R0040,1.1424,Male,48,"Black, non-Hispanic",Lean Republican,He said what he said and I agree with it. The pope is a globalist.
R0041,1.3445,Non-binary / Other,52,Asian / Pacific Islander,Independent,I understand why people are upset but I also think the pope has been making political statements that invite a response.
R0042,0.4224,Male,42,"White, non-Hispanic",Independent,IDK I don't really care about either of them
R0043,1.0433,Female,58,Asian / Pacific Islander,Republican,Thought it was fine tbh. Francis used to do the same thing and nobody said a word. now its a problem bc its trump?
R0044,1.3211,Female,24,Other / Mixed Race,Lean Republican,He's right to push back. The pope made comments about immigration that were directed at Trump and he had every right to respond.
R0045,1.1823,Female,28,"White, non-Hispanic",Republican,Frankly I didn't think it was that negative. Media blew it way out of proportion as usual.
R0046,0.8269,Male,60,"White, non-Hispanic",Strong Republican,"Not great, not terrible. Both of them need to dial it back."
R0047,0.7855,Female,18,Asian / Pacific Islander,Independent,haven't heard about it tbh
R0048,1.0828,Female,43,Hispanic,Lean Republican,I don't pay attention to that kind of stuff
R0049,0.6855,Male,48,Asian / Pacific Islander,Lean Republican,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0050,1.1043,Female,23,"Black, non-Hispanic",Independent,"Not great, not terrible. Both of them need to dial it back."
R0051,0.7518,Female,52,Hispanic,Democrat,Made me sick to my stomach. We've truly lost the plot as a country.
R0052,0.3891,Male,30,"White, non-Hispanic",Independent,It's complicated. I'm catholic but I also think the church shouldn't be lecturing governments. so I see both sides
R0053,1.2124,Male,53,"White, non-Hispanic",Strong Republican,Honestly I thought it was about time someone said something. The pope has been sticking his nose in american politics for years.
R0054,1.835,Non-binary / Other,23,"Black, non-Hispanic",Strong Democrat,I think both sides have a point. The pope has weighed in on very political issues and then acts surprised when politicians push back.
R0055,1.5065,Male,47,"White, non-Hispanic",Independent,I mean I get why Trump is annoyed but maybe not the best way to handle it.
R0056,1.2416,Non-binary / Other,68,"White, non-Hispanic",Independent,I try not to follow politics too closely so I'm not really sure
R0057,0.4869,Female,44,Hispanic,Lean Democrat,I'm Catholic and I was deeply offended. The Pope deserves respect regardless of your politics.
R0058,0.7853,Male,51,Hispanic,Strong Democrat,Conflicted. I'm not a fan of how Trump said it but I do think the pope shouldn't be making political statements.
R0059,0.9885,Female,29,Hispanic,Independent,Kind of a both sides thing for me. Neither of them should be doing this.
R0060,0.972,Male,53,"White, non-Hispanic",Strong Democrat,Terrible. Just terrible. The man has no shame.
R0061,0.6321,Female,47,Hispanic,Lean Democrat,Hard to say. I wish they would both stay in their lanes honestly.
R0062,0.8439,Male,21,"White, non-Hispanic",Democrat,It's complicated. I'm catholic but I also think the church shouldn't be lecturing governments. so I see both sides
R0063,1.0208,Male,33,"White, non-Hispanic",Lean Democrat,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0064,1.1117,Male,66,"White, non-Hispanic",Independent,It concerns me but I also recognize that Leo has made some very political statements so this was kind of inevitable.
R0065,0.9884,Male,28,Asian / Pacific Islander,Lean Republican,i dont really follow the news that much
R0066,1.3062,Non-binary / Other,30,Asian / Pacific Islander,Lean Democrat,I think both sides have a point. The pope has weighed in on very political issues and then acts surprised when politicians push back.
R0067,0.5999,Male,48,"Black, non-Hispanic",Democrat,I thought it was way out of line. You can disagree with someone without being nasty about it.
R0068,0.7147,Female,65,"Black, non-Hispanic",Independent,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0069,0.6312,Female,37,Hispanic,Republican,No opinion
R0070,1.0436,Female,48,"Black, non-Hispanic",Strong Republican,I understand why people are upset but I also think the pope has been making political statements that invite a response.
R0071,1.3372,Male,59,Asian / Pacific Islander,Lean Republican,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0072,0.97,Female,31,Asian / Pacific Islander,Republican,He's not wrong. The pope has been very leftist and Trump was right to call him out.
R0073,1.5197,Female,37,Asian / Pacific Islander,Strong Republican,I understand why people are upset but I also think the pope has been making political statements that invite a response.
R0074,1.2299,Female,30,Other / Mixed Race,Lean Republican,I didn't hear about that
R0075,0.8513,Female,66,"White, non-Hispanic",Strong Republican,LOL good. about time. The pope should worry about his own problems and not lecture us.
R0076,1.2005,Male,41,"White, non-Hispanic",Independent,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0077,0.9966,Female,18,Other / Mixed Race,Democrat,Furious. The pope has been speaking about peace and caring for the poor and Trump attacks him for that?
R0078,0.629,Male,23,Hispanic,Republican,Totally agree with Trump on this one. The Catholic church has LOTS of problems of its own before lecturing America.
R0079,1.6199,Male,64,Other / Mixed Race,Lean Democrat,"Not great, not terrible. Both of them need to dial it back."
R0080,0.9612,Male,58,"Black, non-Hispanic",Strong Republican,I was happy about it. Someone needs to stand up to these institutions.
R0081,1.6462,Non-binary / Other,35,"White, non-Hispanic",Independent,I think Trump could have been more respectful but I get the sentiment. The Vatican has been very anti-Trump for years.
R0082,0.9272,Female,55,"White, non-Hispanic",Strong Democrat,It's complicated. I'm catholic but I also think the church shouldn't be lecturing governments. so I see both sides
R0083,0.7295,Male,61,Hispanic,Lean Republican,I'm not sure
R0084,1.2992,Male,75,Other / Mixed Race,Democrat,I was horrified honestly. The man is attacking the Pope. The Pope.
R0085,0.82,Male,47,"White, non-Hispanic",Democrat,Furious. The pope has been speaking about peace and caring for the poor and Trump attacks him for that?
R0086,1.0993,Non-binary / Other,25,Hispanic,Independent,N/A
R0087,1.135,Female,34,Asian / Pacific Islander,Republican,Totally agree with Trump on this one. The Catholic church has LOTS of problems of its own before lecturing America.
R0088,0.7456,Female,27,Hispanic,Strong Republican,He's not wrong. The pope has been very leftist and Trump was right to call him out.
R0089,0.732,Male,52,Other / Mixed Race,Republican,"idk, i dont really care"
R0090,1.5788,Female,55,"White, non-Hispanic",Lean Republican,I try not to follow politics too closely so I'm not really sure
R0091,0.6433,Male,62,Asian / Pacific Islander,Democrat,I was outraged. The pope is a moral leader for billions of people. Show some respect.
R0092,1.4282,Female,37,Other / Mixed Race,Strong Republican,I was happy about it. Someone needs to stand up to these institutions.
R0093,1.41,Male,54,Asian / Pacific Islander,Strong Republican,Sigh. I'm tired of all of it. Trump was too harsh but the pope shouldn't be weighing in on US elections either.
R0094,0.6661,Female,27,Hispanic,Lean Republican,no comment
R0095,0.7357,Male,70,"Black, non-Hispanic",Lean Republican,It concerns me but I also recognize that Leo has made some very political statements so this was kind of inevitable.
R0096,1.4223,Female,33,"White, non-Hispanic",Democrat,Furious. The pope has been speaking about peace and caring for the poor and Trump attacks him for that?
R0097,0.919,Male,67,"White, non-Hispanic",Strong Republican,I was proud of him for saying it. We don't need the Vatican telling us how to run our country.
R0098,3.1248,Female,52,Other / Mixed Race,Strong Republican,I think both sides have a point. The pope has weighed in on very political issues and then acts surprised when politicians push back.
R0099,1.5784,Non-binary / Other,49,Hispanic,Democrat,I thought it was way out of line. You can disagree with someone without being nasty about it.
R0100,0.7326,Male,55,"Black, non-Hispanic",Lean Republican,i dont really follow the news that much
R0101,0.8862,Non-binary / Other,33,Hispanic,Republican,Honestly I thought it was about time someone said something. The pope has been sticking his nose in american politics for years.
R0102,0.7086,Male,47,Hispanic,Strong Democrat,I think both sides have a point. The pope has weighed in on very political issues and then acts surprised when politicians push back.
R0103,1.3253,Male,45,"Black, non-Hispanic",Strong Republican,Didn't phase me. Trump says controversial things all the time and he's usually right.
R0104,0.7161,Male,42,Other / Mixed Race,Strong Democrat,I didnt like it at all. Whatever your politics you should be able to respect a religious figure.
R0105,0.7853,Male,53,Asian / Pacific Islander,Strong Republican,Trump tells it like it is. The pope has been making political statements and trump responded. simple as that.
R0106,1.0059,Male,18,"Black, non-Hispanic",Independent,haven't followed it
R0107,0.8378,Female,24,Hispanic,Lean Democrat,The disrespect was shocking even by his standards. Pope Leo has done nothing to deserve that.
R0108,2.142,Female,50,Hispanic,Lean Republican,Frankly I didn't think it was that negative. Media blew it way out of proportion as usual.
R0109,0.8097,Female,50,"White, non-Hispanic",Lean Democrat,I think both sides have a point. The pope has weighed in on very political issues and then acts surprised when politicians push back.
R0110,1.4481,Non-binary / Other,69,"White, non-Hispanic",Lean Republican,It's complicated. I'm catholic but I also think the church shouldn't be lecturing governments. so I see both sides
R0111,0.6776,Male,63,"White, non-Hispanic",Strong Republican,He's not wrong. The pope has been very leftist and Trump was right to call him out.
R0112,1.0298,Female,30,Hispanic,Republican,He's right to push back. The pope made comments about immigration that were directed at Trump and he had every right to respond.
R0113,1.3133,Male,42,Other / Mixed Race,Independent,I think both sides have a point. The pope has weighed in on very political issues and then acts surprised when politicians push back.
R0114,0.9007,Male,50,Hispanic,Strong Democrat,I didnt like it at all. Whatever your politics you should be able to respect a religious figure.
R0115,1.2501,Male,44,"White, non-Hispanic",Lean Democrat,Sigh. I'm tired of all of it. Trump was too harsh but the pope shouldn't be weighing in on US elections either.
R0116,1.1125,Male,42,"White, non-Hispanic",Strong Republican,About time. Leo said some pretty nasty things about our immigration policy first.
R0117,0.9257,Female,42,Asian / Pacific Islander,Lean Republican,"Not great, not terrible. Both of them need to dial it back."
R0118,0.4691,Male,53,"Black, non-Hispanic",Strong Republican,Didn't bother me at all. The Vatican shouldn't be weighing in on US policy so I think Trump was justified.
R0119,0.8307,Male,57,"White, non-Hispanic",Democrat,Somewhat disturbed but also not entirely surprised. They've been on a collision course for a while.
R0120,0.9516,Female,89,Hispanic,Strong Republican,Didn't bother me at all. The Vatican shouldn't be weighing in on US policy so I think Trump was justified.
R0121,0.9342,Male,66,Hispanic,Independent,It concerns me but I also recognize that Leo has made some very political statements so this was kind of inevitable.
R0122,0.6442,Female,18,Asian / Pacific Islander,Independent,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0123,0.8533,Male,35,"White, non-Hispanic",Strong Republican,I was happy about it. Someone needs to stand up to these institutions.
R0124,1.0956,Male,50,Hispanic,Lean Democrat,IDK I don't really care about either of them
R0125,1.3216,Male,52,"White, non-Hispanic",Lean Democrat,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0126,1.4373,Male,50,"White, non-Hispanic",Lean Democrat,It was embarrassing for America honestly. What must the rest of the world think of us.
R0127,1.7683,Non-binary / Other,67,"White, non-Hispanic",Lean Republican,It was appropriate I think. Leo made some statements that really were anti-American.
R0128,0.658,Non-binary / Other,25,"Black, non-Hispanic",Democrat,I'm Catholic and I was deeply offended. The Pope deserves respect regardless of your politics.
R0129,0.5606,Female,49,"White, non-Hispanic",Lean Republican,Not really paying attention to that stuff
R0130,0.7009,Male,55,Other / Mixed Race,Strong Democrat,As someone who respects all religions I was very troubled by the tone and the words he used.
R0131,0.7531,Female,58,"Black, non-Hispanic",Lean Democrat,I'm not sure
R0132,1.3511,Male,48,Hispanic,Republican,Frankly I didn't think it was that negative. Media blew it way out of proportion as usual.
R0133,1.2336,Female,77,"White, non-Hispanic",Republican,I supported it. Leo has been very political and Trump calling him out was fair.
R0134,0.58,Female,18,"Black, non-Hispanic",Republican,Pass
R0135,1.0016,Non-binary / Other,41,"White, non-Hispanic",Republican,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0136,0.737,Non-binary / Other,51,Other / Mixed Race,Independent,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0137,1.12,Male,36,"Black, non-Hispanic",Independent,idk not really into politics
R0138,0.9998,Male,52,Hispanic,Independent,i dont really follow the news that much
R0139,1.0536,Male,46,"White, non-Hispanic",Lean Democrat,"Not great, not terrible. Both of them need to dial it back."
R0140,0.7054,Male,74,Hispanic,Strong Democrat,It was embarrassing for America honestly. What must the rest of the world think of us.
R0141,1.2563,Male,41,"White, non-Hispanic",Republican,Trump tells it like it is. The pope has been making political statements and trump responded. simple as that.
R0142,0.8517,Female,62,"White, non-Hispanic",Republican,It was appropriate I think. Leo made some statements that really were anti-American.
R0143,1.1373,Male,41,Other / Mixed Race,Strong Republican,Thought it was fine tbh. Francis used to do the same thing and nobody said a word. now its a problem bc its trump?
R0144,0.9955,Non-binary / Other,47,Asian / Pacific Islander,Strong Democrat,I think it was incredibly disrespectful and un-American in a way. We have always respected religious leaders.
R0145,1.041,Male,51,Asian / Pacific Islander,Democrat,I thought it was way out of line. You can disagree with someone without being nasty about it.
R0146,1.1385,Non-binary / Other,18,Other / Mixed Race,Strong Democrat,I think he crossed a major line. You don't insult the pope. That's just wrong.
R0147,1.1464,Non-binary / Other,42,Other / Mixed Race,Republican,Didn't phase me. Trump says controversial things all the time and he's usually right.
R0148,0.89,Female,26,"White, non-Hispanic",Democrat,I thought it was way out of line. You can disagree with someone without being nasty about it.
R0149,0.643,Male,18,"White, non-Hispanic",Republican,don't know
R0150,1.4148,Female,36,"White, non-Hispanic",Republican,I try not to follow politics too closely so I'm not really sure
R0151,0.736,Female,29,Hispanic,Independent,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0152,1.0763,Female,48,"White, non-Hispanic",Strong Democrat,I'm Catholic and I was deeply offended. The Pope deserves respect regardless of your politics.
R0153,0.9104,Female,49,"White, non-Hispanic",Independent,IDK
R0154,1.5112,Female,45,"White, non-Hispanic",Democrat,It's complicated. I'm catholic but I also think the church shouldn't be lecturing governments. so I see both sides
R0155,0.7241,Female,45,"White, non-Hispanic",Democrat,I think Trump could have been more respectful but I get the sentiment. The Vatican has been very anti-Trump for years.
R0156,1.6021,Non-binary / Other,54,"Black, non-Hispanic",Republican,Honestly I thought it was about time someone said something. The pope has been sticking his nose in american politics for years.
R0157,0.9968,Female,70,Asian / Pacific Islander,Lean Democrat,Completely disgusted. There is no excuse for that kind of language directed at a religious leader.
R0158,0.7038,Female,39,Hispanic,Republican,I don't really have an opinion on this
R0159,0.7031,Female,35,Hispanic,Independent,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0160,0.815,Male,30,Hispanic,Democrat,very upset about it. my whole family is catholic and this felt personal
R0161,0.8481,Female,25,Other / Mixed Race,Strong Republican,It was appropriate I think. Leo made some statements that really were anti-American.
R0162,0.6858,Female,75,Hispanic,Independent,haven't followed it
R0163,0.7417,Female,42,"White, non-Hispanic",Independent,Hard to say. I wish they would both stay in their lanes honestly.
R0164,0.5966,Male,50,"White, non-Hispanic",Lean Democrat,don't know
R0165,1.0563,Male,49,"White, non-Hispanic",Strong Democrat,It was embarrassing for America honestly. What must the rest of the world think of us.
R0166,1.4619,Male,63,Asian / Pacific Islander,Strong Republican,Hard to say. I wish they would both stay in their lanes honestly.
R0167,1.121,Female,44,Other / Mixed Race,Republican,I supported it. Leo has been very political and Trump calling him out was fair.
R0168,1.9131,Male,18,"Black, non-Hispanic",Republican,Thought it was fine tbh. Francis used to do the same thing and nobody said a word. now its a problem bc its trump?
R0169,1.0536,Male,25,"Black, non-Hispanic",Strong Democrat,not sure
R0170,0.7174,Female,41,Other / Mixed Race,Strong Republican,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0171,1.2927,Female,42,Hispanic,Lean Republican,IDK I don't really care about either of them
R0172,1.3239,Male,33,Hispanic,Democrat,Not sure I heard about this
R0173,1.7363,Male,44,Hispanic,Democrat,I was outraged. The pope is a moral leader for billions of people. Show some respect.
R0174,1.294,Female,54,Other / Mixed Race,Lean Republican,I didn't hear about that
